Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,med_household_income,total_pop,race_white,race_black,race_native,race_asian,race_pi,other_race,mixed_race,workers_over16,commute_car,drive_alone,commute_carpool,public_transport,commute_motorcyle,commute_bicycle,commute_walk,commute_other,commute_wfh,avg_commute_min,pop_density,area_land
06037190802,14000US06037190802,Census Tract 1908.02,"Census Tract 1908.02, Los Angeles County, California",ca,140,00,ACSSF,0004293,06,037,190802,39564,2835,1184,194,0,198,0,1056,203,1706,937,780,157,374,0,70,142,11,172,28,15084.64,0.187939481
06037190901,14000US06037190901,Census Tract 1909.01,"Census Tract 1909.01, Los Angeles County, California",ca,140,00,ACSSF,0004294,06,037,190901,32212,4429,1366,390,0,229,0,2251,193,2361,1692,1665,27,505,19,0,60,0,85,35,23400.82,0.1892669
06037190902,14000US06037190902,Census Tract 1909.02,"Census Tract 1909.02, Los Angeles County, California",ca,140,00,ACSSF,0004295,06,037,190902,35787,3835,1617,189,31,93,0,1709,196,2083,1485,1339,146,219,0,28,104,10,237,33,20395.87,0.188028284
06037191000,14000US06037191000,Census Tract 1910,"Census Tract 1910, Los Angeles County, California",ca,140,00,ACSSF,0004296,06,037,191000,54021,4621,2304,674,0,618,62,815,148,3234,1886,1717,169,659,0,16,218,114,341,35,18449.32,0.250469886
06037191110,14000US06037191110,Census Tract 1911.10,"Census Tract 1911.10, Los Angeles County, California",ca,140,00,ACSSF,0004297,06,037,191110,36667,3476,2217,121,0,481,0,579,78,1841,950,737,213,626,18,57,118,0,72,25,33007.39,0.105309754
06037191120,14000US06037191120,Census Tract 1911.20,"Census Tract 1911.20, Los Angeles County, California",ca,140,00,ACSSF,0004298,06,037,191120,38204,4068,1926,90,0,810,31,1131,80,2019,1230,1082,148,508,0,19,106,54,102,30,27751.41,0.146587166
06037191201,14000US06037191201,Census Tract 1912.01,"Census Tract 1912.01, Los Angeles County, California",ca,140,00,ACSSF,0004299,06,037,191201,45772,4352,2492,112,0,565,5,1017,161,2496,1108,1010,98,406,0,31,720,16,215,22,19696.07,0.22095778
06037191203,14000US06037191203,Census Tract 1912.03,"Census Tract 1912.03, Los Angeles County, California",ca,140,00,ACSSF,0004300,06,037,191203,26167,2466,882,130,30,716,0,609,99,1157,720,654,66,173,0,0,141,0,123,28,31124.08,0.079231255
06037191204,14000US06037191204,Census Tract 1912.04,"Census Tract 1912.04, Los Angeles County, California",ca,140,00,ACSSF,0004301,06,037,191204,39769,2156,963,26,0,307,32,777,51,1142,801,641,160,197,4,5,77,12,46,35,27769.14,0.077640128
06037191301,14000US06037191301,Census Tract 1913.01,"Census Tract 1913.01, Los Angeles County, California",ca,140,00,ACSSF,0004302,06,037,191301,44750,2402,608,118,0,442,0,1226,8,1418,961,837,124,333,1,0,72,0,51,33,22743.53,0.105612458
06037191302,14000US06037191302,Census Tract 1913.02,"Census Tract 1913.02, Los Angeles County, California",ca,140,00,ACSSF,0004303,06,037,191302,44306,2073,854,42,0,544,0,556,77,1121,729,664,65,193,7,0,109,0,83,32,12708.28,0.163121991
06037191410,14000US06037191410,Census Tract 1914.10,"Census Tract 1914.10, Los Angeles County, California",ca,140,00,ACSSF,0004304,06,037,191410,31822,4932,1449,242,0,709,22,2348,162,2451,1484,1304,180,582,10,48,152,24,151,35,41022.59,0.120226426
06037191420,14000US06037191420,Census Tract 1914.20,"Census Tract 1914.20, Los Angeles County, California",ca,140,00,ACSSF,0004305,06,037,191420,62073,3423,927,21,34,468,0,1818,155,2191,1395,1242,153,575,13,42,52,0,114,37,39024.59,0.08771392
06037191500,14000US06037191500,Census Tract 1915,"Census Tract 1915, Los Angeles County, California",ca,140,00,ACSSF,0004306,06,037,191500,47500,5776,2149,28,10,1343,17,2124,105,3220,2015,1840,175,836,0,93,163,0,113,38,23324.2,0.247639757
06037191610,14000US06037191610,Census Tract 1916.10,"Census Tract 1916.10, Los Angeles County, California",ca,140,00,ACSSF,0004307,06,037,191610,44781,4208,1217,135,0,634,0,2129,93,2273,1523,1359,164,493,0,0,112,42,103,36,26078.05,0.161361751
06037191620,14000US06037191620,Census Tract 1916.20,"Census Tract 1916.20, Los Angeles County, California",ca,140,00,ACSSF,0004308,06,037,191620,28229,2691,680,245,0,301,0,1444,21,1133,640,609,31,377,0,0,92,6,18,39,30455.13,0.088359483
06037191710,14000US06037191710,Census Tract 1917.10,"Census Tract 1917.10, Los Angeles County, California",ca,140,00,ACSSF,0004309,06,037,191710,28464,2734,1041,156,0,227,0,1299,11,1415,829,782,47,352,6,31,110,0,87,31,10039.71,0.272318636
06037191720,14000US06037191720,Census Tract 1917.20,"Census Tract 1917.20, Los Angeles County, California",ca,140,00,ACSSF,0004310,06,037,191720,27083,3459,1015,160,20,142,0,2081,41,1723,857,747,110,689,7,26,83,7,54,36,33892.75,0.10205723
06037191810,14000US06037191810,Census Tract 1918.10,"Census Tract 1918.10, Los Angeles County, California",ca,140,00,ACSSF,0004311,06,037,191810,47344,3417,1501,182,35,81,0,1459,159,1838,1209,1191,18,415,0,48,57,29,80,31,21892.58,0.15608026
06037191820,14000US06037191820,Census Tract 1918.20,"Census Tract 1918.20, Los Angeles County, California",ca,140,00,ACSSF,0004312,06,037,191820,64167,3095,1282,261,0,204,0,1068,280,2179,1599,1494,105,316,0,9,46,27,182,37,19805.58,0.156269064
06037191901,14000US06037191901,Census Tract 1919.01,"Census Tract 1919.01, Los Angeles County, California",ca,140,00,ACSSF,0004313,06,037,191901,53173,2841,1792,140,27,213,0,498,171,1941,1509,1367,142,171,13,8,96,21,123,34,9516.978,0.298519144
06037191902,14000US06037191902,Census Tract 1919.02,"Census Tract 1919.02, Los Angeles County, California",ca,140,00,ACSSF,0004314,06,037,191902,90221,2671,2286,32,0,131,0,97,125,1770,1360,1353,7,34,0,46,93,0,237,29,9524.768,0.280426782
06037192001,14000US06037192001,Census Tract 1920.01,"Census Tract 1920.01, Los Angeles County, California",ca,140,00,ACSSF,0004315,06,037,192001,65250,2410,1849,215,23,207,0,46,70,1404,1045,995,50,65,12,26,37,7,212,25,11759.83,0.204934926
06037192002,14000US06037192002,Census Tract 1920.02,"Census Tract 1920.02, Los Angeles County, California",ca,140,00,ACSSF,0004316,06,037,192002,106271,2596,2055,102,0,144,36,30,229,1659,1346,1231,115,18,0,39,5,28,223,29,7833.397,0.331401535
06037192300,14000US06037192300,Census Tract 1923,"Census Tract 1923, Los Angeles County, California",ca,140,00,ACSSF,0004317,06,037,192300,100938,2475,1564,19,0,662,0,56,174,1606,1250,1131,119,95,16,44,20,9,172,29,7288.532,0.339574546
06037192410,14000US06037192410,Census Tract 1924.10,"Census Tract 1924.10, Los Angeles County, California",ca,140,00,ACSSF,0004318,06,037,192410,74118,3757,2003,209,19,816,47,372,291,2233,1710,1619,91,109,0,38,17,66,293,32,14228.1,0.264054891
06037192420,14000US06037192420,Census Tract 1924.20,"Census Tract 1924.20, Los Angeles County, California",ca,140,00,ACSSF,0004319,06,037,192420,59046,4101,1268,276,0,1290,7,1148,112,2529,2087,1997,90,321,0,0,49,0,72,33,32691.12,0.125446913
06037192510,14000US06037192510,Census Tract 1925.10,"Census Tract 1925.10, Los Angeles County, California",ca,140,00,ACSSF,0004320,06,037,192510,48218,3873,1045,32,0,1471,11,1144,170,1956,1728,1551,177,154,0,0,26,0,48,28,29438.07,0.131564316
06037192520,14000US06037192520,Census Tract 1925.20,"Census Tract 1925.20, Los Angeles County, California",ca,140,00,ACSSF,0004321,06,037,192520,43531,5298,1885,51,9,740,0,2512,101,2850,1864,1709,155,803,0,16,56,0,111,34,44579.67,0.118843408
06037192610,14000US06037192610,Census Tract 1926.10,"Census Tract 1926.10, Los Angeles County, California",ca,140,00,ACSSF,0004322,06,037,192610,36116,4117,1400,190,10,446,11,1905,155,2215,1405,1305,100,645,0,0,41,0,124,35,25668.69,0.160389932
06037192620,14000US06037192620,Census Tract 1926.20,"Census Tract 1926.20, Los Angeles County, California",ca,140,00,ACSSF,0004323,06,037,192620,36722,3747,1246,92,3,746,0,1633,27,1797,1104,1054,50,561,0,0,33,42,57,34,39845.15,0.094039046
06037192700,14000US06037192700,Census Tract 1927,"Census Tract 1927, Los Angeles County, California",ca,140,00,ACSSF,0004324,06,037,192700,47331,3717,1173,78,12,765,0,1484,205,1852,1330,1232,98,392,0,10,16,0,104,32,18122.92,0.205099406
06037194101,14000US06037194101,Census Tract 1941.01,"Census Tract 1941.01, Los Angeles County, California",ca,140,00,ACSSF,0004325,06,037,194101,83180,3343,2474,378,9,215,0,133,134,2075,1564,1468,96,69,19,0,45,8,370,26,3405.103,0.981761692
06037194102,14000US06037194102,Census Tract 1941.02,"Census Tract 1941.02, Los Angeles County, California",ca,140,00,ACSSF,0004326,06,037,194102,126799,3365,2606,159,0,400,24,100,76,1868,1446,1403,43,10,0,10,10,29,363,33,2489.718,1.351558772
06037194200,14000US06037194200,Census Tract 1942,"Census Tract 1942, Los Angeles County, California",ca,140,00,ACSSF,0004327,06,037,194200,137546,3489,2779,99,18,115,34,61,383,2023,1527,1423,104,68,0,0,76,58,294,31,3471.272,1.005106973
06037194300,14000US06037194300,Census Tract 1943,"Census Tract 1943, Los Angeles County, California",ca,140,00,ACSSF,0004328,06,037,194300,191563,3303,2974,92,0,90,0,0,147,1970,1261,1219,42,32,0,0,18,129,530,31,3461.913,0.954096699
06037194401,14000US06037194401,Census Tract 1944.01,"Census Tract 1944.01, Los Angeles County, California",ca,140,00,ACSSF,0004329,06,037,194401,84167,2490,1785,172,18,133,0,162,220,1662,1118,1048,70,120,0,8,147,6,263,29,13846.4,0.179830177
06037194402,14000US06037194402,Census Tract 1944.02,"Census Tract 1944.02, Los Angeles County, California",ca,140,00,ACSSF,0004330,06,037,194402,98333,3694,3021,18,15,494,0,105,41,2851,2279,2154,125,55,0,0,53,0,464,26,16238.86,0.227479046
06037194500,14000US06037194500,Census Tract 1945,"Census Tract 1945, Los Angeles County, California",ca,140,00,ACSSF,0004331,06,037,194500,109167,1969,1615,87,0,122,0,54,91,1067,883,847,36,26,7,11,0,5,135,29,7441.093,0.264611651
06037195100,14000US06037195100,Census Tract 1951,"Census Tract 1951, Los Angeles County, California",ca,140,00,ACSSF,0004332,06,037,195100,124536,5013,3782,93,19,685,0,48,386,2608,2058,1966,92,96,0,38,37,51,328,29,8289.366,0.604750678
